"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Upper Canada Mall Newmarket","Upper Canada Mall, 17600 Yonge St. N., ","Newmarket, On, ","4Z1","L3Y 4Z1","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Vancouver","Upper Canada Mall, 17600 Yonge St. N., ","Vancouver","4Z1","V6C 1Z6","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Vernon","VILLAGE GREEN MALL  STE 104900  27TH STREET VERNON","VERNON","BC","V1T 2C7","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Victoria","THE BAY CENTRE  1150 DOUGLAS STREET","VICTORIA","BC","V8Z 2C8","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Waterloo","CONESTOGA MALL  550 KING STREET NORTH","WATERLOO","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop West Edmonton Temp","CONESTOGA MALL  550 KING STREET NORTH","Edmonton","ON","T5T 3J7","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Windsor","DEVONSHIRE MALL  3030 HOWARD AVENUE","WINDSOR","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Winnipeg Dtn","450 PORTAGE AVE.","WINNIPEG","MB","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Woodbine","WOODBINE PLAZA  500 REXDALE BLVD","TORONTO","ON","<MISSING>","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"www.topshop.com","https://www.topshop.com/store-locator?country=Canada","Topshop Yorkdale","WOODBINE PLAZA  500 REXDALE BLVD","North York","ON","M6A 2T9","CA","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
