locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
http://weingartenrealty.propertycapsule.com/,Trenton Crossing Shopping Center,N 10th St at W Trenton Rd,McAllen,TX,78504,US,<MISSING>,<MISSING>,<MISSING>,26.271328,-98.216668,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/mcallen/texas/trentoncrossing/overview
http://weingartenrealty.propertycapsule.com/,The Commons at Dexter Lake,N Germantown Pkwy at Dexter Rd,Memphis,TN,38016,US,<MISSING>,<MISSING>,<MISSING>,35.171037,-89.794741,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/memphis/tennessee/thecommonsatdexterlake/overview
http://weingartenrealty.propertycapsule.com/,Red Mountain Gateway,Power Rd at McKellips Rd,Mesa,AZ,85215,US,<MISSING>,<MISSING>,<MISSING>,33.452809,-111.682187,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/mesa/arizona+/redmountaingateway/overview
http://weingartenrealty.propertycapsule.com/,The Palms at Town & Country,Florida Turnpike at Kendall Dr/SW 88th St,Miami,FL,33183,US,<MISSING>,<MISSING>,<MISSING>,25.689452,-80.38699,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/miami/florida/thepalmsattowncountry/overview
http://weingartenrealty.propertycapsule.com/,Sharyland Towne Crossing,Shary Rd at US 83,Mission,TX,78572,US,<MISSING>,<MISSING>,<MISSING>,26.197178,-98.28426,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/mission/texas/sharylandtownecrossing/overview
http://weingartenrealty.propertycapsule.com/,Northridge Shopping Center,E Commercial Blvd at N Dixie Hwy,Oakland Park,FL,33334,US,<MISSING>,<MISSING>,<MISSING>,26.190086,-80.135294,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Oakland+Park-FL
http://weingartenrealty.propertycapsule.com/,Shoppes of South Semoran,S Semoran Blvd at Pershing Ave,Orlando,FL,32822,US,<MISSING>,<MISSING>,<MISSING>,28.497979,-81.310975,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/orlando/florida/shoppesofsouthsemoran/overview
http://weingartenrealty.propertycapsule.com/,Entrada de Oro,Oracle Rd at Magee Rd,Oro Valley,AZ,85704,US,<MISSING>,<MISSING>,<MISSING>,32.350475,-110.976682,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Oro+Valley-AZ
http://weingartenrealty.propertycapsule.com/,Palm Coast,SR 100 at Belle Terre Pkwy,Palm Coast,FL,32164,US,<MISSING>,<MISSING>,<MISSING>,29.477282,-81.213373,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Palm+Coast-FL
http://weingartenrealty.propertycapsule.com/,East Lake Woodlands,E Lake Rd at Tampa Rd,Palm Harbor,FL,34685,US,<MISSING>,<MISSING>,<MISSING>,28.0602,-82.7073,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Palm+Harbor-FL
http://weingartenrealty.propertycapsule.com/,Crossing at Stonegate,Lincoln Ave at Jordan Rd,Parker,CO,80134,US,<MISSING>,<MISSING>,<MISSING>,39.535462,-104.791777,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Parker-CO
http://weingartenrealty.propertycapsule.com/,Pembroke Commons,"University Dr, N of Pines Blvd",Pembroke Pines,FL,33024,US,<MISSING>,<MISSING>,<MISSING>,26.013643,-80.250669,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/pembroke+pines/florida/pembrokecommons/overview
